Host Name,Number of Stars,Number of Planets,Radius (Thousands of Astronomical Units),Host (Galaxy),,,,,,,,,,,
KOI-217,1,1,3.484,Butterfly Galaxies,,,,,,,,,,,
KOI-2513,1,1,215.84,Lindsay-Shapley Ring,,,,,,,,,,,
KOI-3503,1,2,269.609,Needle Galaxy,,,,,,,,,,,
KOI-351,1,8,109.932,Fireworks Galaxy,,,,,,,,,,,
KOI-3680,1,1,54.801,Malin 1,,,,,,,,,,,
KOI-4777,1,1,283.865,Mayall's Object,,,,,,,,,,,
KOI-4978,1,1,151.606,Hockey Stick Galaxies,,,,,,,,,,,
KOI-55,1,2,124.41,Circinus Galaxy,,,,,,,,,,,
KOI-7368,1,1,202.053,Black Eye Galaxy,,,,,,,,,,,
KOI-7913 A,2,1,5.556,Eye of Sauron,,,,,,,,,,,
KOI-94,2,4,255.372,Bode's Galaxy,,,,,,,,,,,
KOI-984,1,2,23.472,Peekaboo Galaxy,,,,,,,,,,,
KPS-1,1,1,214.623,Paramecium Galaxy,,,,,,,,,,,
Kapteyn,1,1,207.245,Hidden Galaxy,,,,,,,,,,,
Kepler-10,1,3,257.992,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-100,1,4,262.958,Godzilla Galaxy,,,,,,,,,,,
Kepler-1000,1,1,4.856,Malin 1,,,,,,,,,,,
Kepler-1001,1,2,291.48,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1002,1,1,198.919,Fireworks Galaxy,,,,,,,,,,,
Kepler-1003,1,1,68.313,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-1004,1,1,28.038,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-1005,1,1,21.811,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-1006,1,1,165.814,Andromeda Galaxy,,,,,,,,,,,
Kepler-1007,1,1,137.271,Barnard's Galaxy,,,,,,,,,,,
Kepler-1008,2,1,70.164,Mayall's Object,,,,,,,,,,,
Kepler-1009,1,1,13.208,Whirlpool Galaxy,,,,,,,,,,,
Kepler-101,1,2,97.8,Alcyoneus,,,,,,,,,,,
Kepler-1010,1,1,75.482,Godzilla Galaxy,,,,,,,,,,,
Kepler-1011,1,1,109.813,Eye of Sauron,,,,,,,,,,,
Kepler-1012,1,1,31.144,Peekaboo Galaxy,,,,,,,,,,,
Kepler-1013,1,1,291.044,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1014,1,1,175.502,Condor Galaxy,,,,,,,,,,,
Kepler-1015,1,1,114.319,Circinus Galaxy,,,,,,,,,,,
Kepler-1016,1,2,71.753,Triangulum Galaxy,,,,,,,,,,,
Kepler-1017,1,1,16.232,Tadpole Galaxy,,,,,,,,,,,
Kepler-1018,1,1,51.311,Porpoise Galaxy,,,,,,,,,,,
Kepler-1019,1,1,89.32,Whirlpool Galaxy,,,,,,,,,,,
Kepler-102,1,5,231.179,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-1020,1,1,103.442,Backward Galaxy,,,,,,,,,,,
Kepler-1021,1,1,53.967,Medusa Merger,,,,,,,,,,,
Kepler-1022,1,1,290.215,Spider Galaxy,,,,,,,,,,,
Kepler-1023,1,1,208.667,Blinking Galaxy,,,,,,,,,,,
Kepler-1024,1,1,240.003,Andromeda Galaxy,,,,,,,,,,,
Kepler-1025,1,1,271.348,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1026,1,1,65.412,Circinus Galaxy,,,,,,,,,,,
Kepler-1027,2,1,80.304,Triangulum Galaxy,,,,,,,,,,,
Kepler-1028,1,1,275.201,Spiderweb Galaxy,,,,,,,,,,,
Kepler-1029,1,1,267.167,Large Magellanic Cloud,,,,,,,,,,,
Kepler-103,1,2,260.086,Skyrocket Galaxy,,,,,,,,,,,
Kepler-1030,1,1,251.867,Cigar Galaxy,,,,,,,,,,,
Kepler-1031,1,1,281.826,Andromeda Galaxy,,,,,,,,,,,
Kepler-1032,1,1,31.267,Starfish Galaxy,,,,,,,,,,,
Kepler-1033,1,1,92.074,Backward Galaxy,,,,,,,,,,,
Kepler-1034,1,1,97.384,Wolf-Lundmark-Melotte,,,,,,,,,,,
Kepler-1035,1,1,158.765,Mice Galaxies,,,,,,,,,,,
Kepler-1036,1,1,257.293,Hoag's Object,,,,,,,,,,,
Kepler-1037,1,1,42.938,Sunflower Galaxy,,,,,,,,,,,
Kepler-1038,1,2,166.418,Grasshopper,,,,,,,,,,,
Kepler-1039,1,1,33.494,Bear Paw Galaxy,,,,,,,,,,,
Kepler-104,2,3,64.581,Hoag's Object,,,,,,,,,,,
Kepler-1040,1,1,57.846,Eye of God,,,,,,,,,,,
Kepler-1041,1,1,160.703,Grasshopper,,,,,,,,,,,
Kepler-1042,1,1,148.919,Cigar Galaxy,,,,,,,,,,,
Kepler-1043,1,1,28.689,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-1044,1,1,131.29,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-1045,1,1,186.077,Medusa Merger,,,,,,,,,,,
Kepler-1046,1,1,230.735,Circinus Galaxy,,,,,,,,,,,
Kepler-1047,1,2,35.765,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-1048,1,1,149.194,Butterfly Galaxies,,,,,,,,,,,
Kepler-1049,1,1,230.003,Black Eye Galaxy,,,,,,,,,,,
Kepler-105,1,2,135.304,Godzilla Galaxy,,,,,,,,,,,
Kepler-1050,1,2,215.734,Large Magellanic Cloud,,,,,,,,,,,
Kepler-1051,1,1,190.462,Fireworks Galaxy,,,,,,,,,,,
Kepler-1052,1,2,207.893,Small Magellanic Cloud,,,,,,,,,,,
Kepler-1053,1,1,91.519,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1054,1,1,97.877,Eye of God,,,,,,,,,,,
Kepler-1055,1,1,271.061,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1056,1,1,54.063,Blinking Galaxy,,,,,,,,,,,
Kepler-1057,1,1,252.8,Barnard's Galaxy,,,,,,,,,,,
Kepler-1058,1,1,219.392,Wolf-Lundmark-Melotte,,,,,,,,,,,
Kepler-1059,1,1,27.666,Grasshopper,,,,,,,,,,,
Kepler-106,1,4,201.329,Blinking Galaxy,,,,,,,,,,,
Kepler-1060,1,1,280.111,Circinus Galaxy,,,,,,,,,,,
Kepler-1061,1,1,87.025,Godzilla Galaxy,,,,,,,,,,,
Kepler-1062,1,1,114.558,Peekaboo Galaxy,,,,,,,,,,,
Kepler-1063,2,1,138.5,Backward Galaxy,,,,,,,,,,,
Kepler-1064,1,1,256.085,Hidden Galaxy,,,,,,,,,,,
Kepler-1065,1,2,4.705,Eye of Sauron,,,,,,,,,,,
Kepler-1066,1,1,249.15,Comet Galaxy,,,,,,,,,,,
Kepler-1067,1,2,53.893,Butterfly Galaxies,,,,,,,,,,,
Kepler-1068,1,1,223.793,Paramecium Galaxy,,,,,,,,,,,
Kepler-1069,1,1,102.529,Fireworks Galaxy,,,,,,,,,,,
Kepler-107,1,4,290.096,Backward Galaxy,,,,,,,,,,,
Kepler-1070,1,1,225.951,Godzilla Galaxy,,,,,,,,,,,
Kepler-1071,1,1,167.578,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1072,1,1,87.455,Fried Egg Galaxy,,,,,,,,,,,
Kepler-1073,1,3,289.956,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1074,1,1,192.549,Needle Galaxy,,,,,,,,,,,
Kepler-1075,1,1,123.431,Grasshopper,,,,,,,,,,,
Kepler-1076,1,1,31.908,Small Magellanic Cloud,,,,,,,,,,,
Kepler-1077,1,1,105.288,Grasshopper,,,,,,,,,,,
Kepler-1078,1,1,58.256,Circinus Galaxy,,,,,,,,,,,
Kepler-1079,1,1,285.016,Cartwheel Galaxy,,,,,,,,,,,
Kepler-108,2,2,161.604,Helix Galaxy,,,,,,,,,,,
Kepler-1080,1,1,76.63,Black Eye Galaxy,,,,,,,,,,,
Kepler-1081,1,1,71.741,Grasshopper,,,,,,,,,,,
Kepler-1082,1,1,153.627,Spider Galaxy,,,,,,,,,,,
Kepler-1083,1,1,7.645,Large Magellanic Cloud,,,,,,,,,,,
Kepler-1084,1,1,151.846,Barnard's Galaxy,,,,,,,,,,,
Kepler-1085,1,2,133.003,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1086,2,2,262.222,Condor Galaxy,,,,,,,,,,,
Kepler-1087,1,1,129.318,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-1088,1,1,34.57,Tadpole Galaxy,,,,,,,,,,,
Kepler-1089,1,1,15.129,Spiderweb Galaxy,,,,,,,,,,,
Kepler-109,1,2,120.053,Eye of Sauron,,,,,,,,,,,
Kepler-1090,1,2,79.643,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1091,1,1,70.235,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1092,1,1,23.149,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-1093,1,2,98.776,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1094,1,1,51.212,Cigar Galaxy,,,,,,,,,,,
Kepler-1095,1,1,293.315,Medusa Merger,,,,,,,,,,,
Kepler-1096,1,1,270.023,Whale Galaxy,,,,,,,,,,,
Kepler-1097,1,1,293.366,Cosmos Redshift 7,,,,,,,,,,,
Kepler-1098,1,1,290.974,Hoag's Object,,,,,,,,,,,
Kepler-1099,1,1,177.702,Milky Way,,,,,,,,,,,
Kepler-11,1,6,135.121,Peekaboo Galaxy,,,,,,,,,,,
Kepler-110,1,2,283.084,Barnard's Galaxy,,,,,,,,,,,
Kepler-1100,1,1,10.233,Fireworks Galaxy,,,,,,,,,,,
Kepler-1101,1,1,280.314,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1102,1,1,223.559,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-1103,1,1,2.476,Pinwheel Galaxy,,,,,,,,,,,
Kepler-1104,1,1,263.958,Wolf-Lundmark-Melotte,,,,,,,,,,,
Kepler-1105,1,1,183.218,Cosmos Redshift 7,,,,,,,,,,,
Kepler-1106,1,1,185.126,Black Eye Galaxy,,,,,,,,,,,
Kepler-1107,1,1,288.523,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1108,1,1,291.572,Cosmos Redshift 7,,,,,,,,,,,
Kepler-1109,1,1,92.54,Godzilla Galaxy,,,,,,,,,,,
Kepler-111,1,2,264.086,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-1110,1,1,173.667,Needle Galaxy,,,,,,,,,,,
Kepler-1111,1,1,61.397,Hoag's Object,,,,,,,,,,,
Kepler-1112,1,1,79.468,Black Eye Galaxy,,,,,,,,,,,
Kepler-1113,1,1,118.194,Eye of God,,,,,,,,,,,
Kepler-1114,1,1,89.727,Comet Galaxy,,,,,,,,,,,
Kepler-1115,1,1,57.377,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-1116,1,1,10.077,Paramecium Galaxy,,,,,,,,,,,
Kepler-1117,1,1,168.953,Mice Galaxies,,,,,,,,,,,
Kepler-1118,1,1,258.293,Paramecium Galaxy,,,,,,,,,,,
Kepler-1119,1,1,13.135,Topsy Turvy Galaxy,,,,,,,,,,,
Kepler-112,1,2,3.639,Hidden Galaxy,,,,,,,,,,,
Kepler-1120,1,1,87.171,Large Magellanic Cloud,,,,,,,,,,,
Kepler-1121,1,1,147.332,Andromeda Galaxy,,,,,,,,,,,
Kepler-1122,1,1,247.194,Spiderweb Galaxy,,,,,,,,,,,
Kepler-1123,1,1,27.228,Grasshopper,,,,,,,,,,,
Kepler-1124,1,1,299.417,Barnard's Galaxy,,,,,,,,,,,
Kepler-1125,1,1,63.816,Bode's Galaxy,,,,,,,,,,,
Kepler-1126,1,2,162.918,Barnard's Galaxy,,,,,,,,,,,
Kepler-1127,1,1,89.999,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-1128,1,1,70.958,Small Magellanic Cloud,,,,,,,,,,,
Kepler-1129,1,2,238.975,Comet Galaxy,,,,,,,,,,,
Kepler-113,1,2,217.665,Mice Galaxies,,,,,,,,,,,
Kepler-1130,2,3,205.275,Whale Galaxy,,,,,,,,,,,
Kepler-1131,1,1,158.938,Blinking Galaxy,,,,,,,,,,,
Kepler-1132,1,1,85.176,Malin 1,,,,,,,,,,,
Kepler-1133,1,1,198.669,Spiderweb Galaxy,,,,,,,,,,,
Kepler-1134,1,1,51.429,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1135,1,1,160.846,#N/A,,,,,,,,,,,
Kepler-1136,1,1,3.834,Tadpole Galaxy,,,,,,,,,,,
Kepler-1137,1,1,190.307,Comet Galaxy,,,,,,,,,,,
Kepler-1138,1,1,71.517,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1139,1,1,52.234,Grasshopper,,,,,,,,,,,
Kepler-114,1,3,227.928,Large Magellanic Cloud,,,,,,,,,,,
Kepler-1140,1,1,164.126,Barnard's Galaxy,,,,,,,,,,,
Kepler-1141,1,1,166.929,Mayall's Object,,,,,,,,,,,
Kepler-1142,1,1,130.389,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1143,1,2,248.947,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-1144,1,1,79.072,Needle Galaxy,,,,,,,,,,,
Kepler-1145,1,1,88.736,Needle Galaxy,,,,,,,,,,,
Kepler-1146,1,1,48.796,Black Eye Galaxy,,,,,,,,,,,
Kepler-1147,1,1,43.782,Mayall's Object,,,,,,,,,,,
Kepler-1148,1,1,260.649,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1149,1,1,274.493,Peekaboo Galaxy,,,,,,,,,,,
Kepler-115,1,2,64.98,Topsy Turvy Galaxy,,,,,,,,,,,
Kepler-1150,2,1,81.072,Blinking Galaxy,,,,,,,,,,,
Kepler-1151,1,1,258.71,Peekaboo Galaxy,,,,,,,,,,,
Kepler-1152,1,1,203.129,Pinwheel Galaxy,,,,,,,,,,,
Kepler-1153,1,1,70.609,Hoag's Object,,,,,,,,,,,
Kepler-1154,1,2,54.311,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1155,1,1,201.885,Medusa Merger,,,,,,,,,,,
Kepler-1156,1,1,138.381,Small Magellanic Cloud,,,,,,,,,,,
Kepler-1157,1,1,296.623,Skyrocket Galaxy,,,,,,,,,,,
Kepler-1158,1,1,55.577,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-1159,1,1,242.449,Cosmos Redshift 7,,,,,,,,,,,
Kepler-116,1,2,104.971,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1160,1,1,175.654,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1161,1,1,280.017,Cigar Galaxy,,,,,,,,,,,
Kepler-1162,1,2,149.821,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-1163,1,1,38.904,Sombrero Galaxy,,,,,,,,,,,
Kepler-1164,1,1,278.119,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-1165,1,2,21.598,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-1166,1,1,198.975,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-1167,1,1,273.982,Comet Galaxy,,,,,,,,,,,
Kepler-1168,1,1,2.712,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-1169,1,1,91.84,Milky Way,,,,,,,,,,,
Kepler-117,1,2,170.868,Black Eye Galaxy,,,,,,,,,,,
Kepler-1170,1,1,241.912,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-1171,1,1,174.63,Grasshopper,,,,,,,,,,,
Kepler-1172,1,1,120.501,Grasshopper,,,,,,,,,,,
Kepler-1173,1,1,7.842,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1174,1,1,114.761,Porphyrion,,,,,,,,,,,
Kepler-1175,1,1,83.169,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1176,1,1,67.765,Hoag's Object,,,,,,,,,,,
Kepler-1177,1,1,149.745,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-1178,1,1,33.132,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1179,1,1,181.72,Comet Galaxy,,,,,,,,,,,
Kepler-118,1,2,92.013,Spider Galaxy,,,,,,,,,,,
Kepler-1180,1,1,253.685,Spiderweb Galaxy,,,,,,,,,,,
Kepler-1181,1,2,117.664,#N/A,,,,,,,,,,,
Kepler-1182,1,1,185.907,Mice Galaxies,,,,,,,,,,,
Kepler-1183,1,1,4.376,Blinking Galaxy,,,,,,,,,,,
Kepler-1184,1,1,197.452,Bode's Galaxy,,,,,,,,,,,
Kepler-1185,1,1,103.493,Mice Galaxies,,,,,,,,,,,
Kepler-1186,1,1,52.382,Godzilla Galaxy,,,,,,,,,,,
Kepler-1187,1,1,247.445,Comet Galaxy,,,,,,,,,,,
Kepler-1188,1,1,143.33,Barnard's Galaxy,,,,,,,,,,,
Kepler-1189,1,1,0.705,Small Magellanic Cloud,,,,,,,,,,,
Kepler-119,1,2,156.357,Malin 1,,,,,,,,,,,
Kepler-1190,1,1,222.41,Blinking Galaxy,,,,,,,,,,,
Kepler-1191,1,1,83.733,Needle Galaxy,,,,,,,,,,,
Kepler-1192,1,1,188.52,#N/A,,,,,,,,,,,
Kepler-1193,1,1,133.824,Cosmos Redshift 7,,,,,,,,,,,
Kepler-1194,1,1,132.692,Eye of Sauron,,,,,,,,,,,
Kepler-1195,1,1,7.349,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1196,1,1,19.499,Eye of Sauron,,,,,,,,,,,
Kepler-1197,1,1,251.363,Helix Galaxy,,,,,,,,,,,
Kepler-1198,1,1,24.264,Condor Galaxy,,,,,,,,,,,
Kepler-1199,1,1,66.954,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-12,1,1,40.57,Topsy Turvy Galaxy,,,,,,,,,,,
Kepler-120,1,2,223.328,Antennae Galaxies,,,,,,,,,,,
Kepler-1200,1,1,19.73,Andromeda Galaxy,,,,,,,,,,,
Kepler-1201,1,1,290.557,Whale Galaxy,,,,,,,,,,,
Kepler-1202,1,1,42.201,Comet Galaxy,,,,,,,,,,,
Kepler-1203,1,1,116.351,Small Magellanic Cloud,,,,,,,,,,,
Kepler-1204,1,1,147.371,Starfish Galaxy,,,,,,,,,,,
Kepler-1205,1,1,253.483,Butterfly Galaxies,,,,,,,,,,,
Kepler-1206,1,1,171.406,Large Magellanic Cloud,,,,,,,,,,,
Kepler-1207,1,1,138.136,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1208,1,1,32.373,Hidden Galaxy,,,,,,,,,,,
Kepler-1209,1,1,214.533,Mayall's Object,,,,,,,,,,,
Kepler-121,1,2,147.746,Sombrero Galaxy,,,,,,,,,,,
Kepler-1210,1,1,40.039,Black Eye Galaxy,,,,,,,,,,,
Kepler-1211,1,1,121.175,Needle Galaxy,,,,,,,,,,,
Kepler-1212,1,1,134.951,Blinking Galaxy,,,,,,,,,,,
Kepler-1213,1,1,99.574,Andromeda Galaxy,,,,,,,,,,,
Kepler-1214,1,1,275.306,Cigar Galaxy,,,,,,,,,,,
Kepler-1215,1,1,5.606,Porphyrion,,,,,,,,,,,
Kepler-1216,1,1,120.385,Whale Galaxy,,,,,,,,,,,
Kepler-1217,1,1,286.359,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1218,1,1,276.776,Andromeda Galaxy,,,,,,,,,,,
Kepler-1219,1,1,44.874,Starfish Galaxy,,,,,,,,,,,
Kepler-122,1,5,279.432,Cocoon Galaxy,,,,,,,,,,,
Kepler-1220,1,1,142.544,Peekaboo Galaxy,,,,,,,,,,,
Kepler-1221,1,1,294.116,Cocoon Galaxy,,,,,,,,,,,
Kepler-1222,1,1,106.369,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-1223,1,1,282.269,Porphyrion,,,,,,,,,,,
Kepler-1224,1,1,224.694,Cosmos Redshift 7,,,,,,,,,,,
Kepler-1225,1,1,139.974,Mayall's Object,,,,,,,,,,,
Kepler-1226,1,1,118.876,Tadpole Galaxy,,,,,,,,,,,
Kepler-1227,1,1,61.27,Sombrero Galaxy,,,,,,,,,,,
Kepler-1228,1,1,169.051,Antennae Galaxies,,,,,,,,,,,
Kepler-1229,1,1,237.15,Mayall's Object,,,,,,,,,,,
Kepler-123,1,2,155.353,Fried Egg Galaxy,,,,,,,,,,,
Kepler-1230,1,1,74.495,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1231,1,1,28.949,Backward Galaxy,,,,,,,,,,,
Kepler-1232,1,1,217.104,Backward Galaxy,,,,,,,,,,,
Kepler-1233,1,1,274.097,Milky Way,,,,,,,,,,,
Kepler-1234,1,1,246.901,Cosmos Redshift 7,,,,,,,,,,,
Kepler-1235,1,1,209.77,Condor Galaxy,,,,,,,,,,,
Kepler-1236,1,1,7.77,Condor Galaxy,,,,,,,,,,,
Kepler-1237,1,1,69.811,Sombrero Galaxy,,,,,,,,,,,
Kepler-1238,1,1,91.13,Pinwheel Galaxy,,,,,,,,,,,
Kepler-1239,1,1,256.332,Grasshopper,,,,,,,,,,,
Kepler-124,1,3,223.258,Antennae Galaxies,,,,,,,,,,,
Kepler-1240,1,1,88.377,Helix Galaxy,,,,,,,,,,,
Kepler-1241,1,1,277.194,Whale Galaxy,,,,,,,,,,,
Kepler-1242,1,1,283.974,Medusa Merger,,,,,,,,,,,
Kepler-1243,1,1,44.232,Butterfly Galaxies,,,,,,,,,,,
Kepler-1244,1,1,181.004,Meathook Galaxy,,,,,,,,,,,
Kepler-1245,1,2,51.967,Eye of God,,,,,,,,,,,
Kepler-1246,1,1,232.583,Hoag's Object,,,,,,,,,,,
Kepler-1247,1,1,209.853,Comet Galaxy,,,,,,,,,,,
Kepler-1248,1,1,274.459,Andromeda Galaxy,,,,,,,,,,,
Kepler-1249,1,1,120.641,Cocoon Galaxy,,,,,,,,,,,
Kepler-125,1,2,146.551,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1250,1,1,167.073,Barnard's Galaxy,,,,,,,,,,,
Kepler-1251,1,1,63.441,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-1252,1,1,239.363,Barnard's Galaxy,,,,,,,,,,,
Kepler-1253,1,1,39.205,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-1254,1,3,69.729,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1255,1,1,25.32,Mayall's Object,,,,,,,,,,,
Kepler-1256,1,1,283.802,Blinking Galaxy,,,,,,,,,,,
Kepler-1257,1,1,100.03,Triangulum Galaxy,,,,,,,,,,,
Kepler-1258,1,1,159.127,Fried Egg Galaxy,,,,,,,,,,,
Kepler-1259,1,1,109.118,Blinking Galaxy,,,,,,,,,,,
Kepler-126,1,3,72.426,Circinus Galaxy,,,,,,,,,,,
Kepler-1260,1,1,290.127,Mice Galaxies,,,,,,,,,,,
Kepler-1261,1,1,155.372,Needle Galaxy,,,,,,,,,,,
Kepler-1262,1,1,295.041,Andromeda Galaxy,,,,,,,,,,,
Kepler-1263,1,1,43.662,Sunflower Galaxy,,,,,,,,,,,
Kepler-1264,1,1,191.233,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1265,1,1,294.468,Comet Galaxy,,,,,,,,,,,
Kepler-1266,1,2,54.024,Cosmos Redshift 7,,,,,,,,,,,
Kepler-1267,1,1,174.764,Peekaboo Galaxy,,,,,,,,,,,
Kepler-1268,1,1,291.25,Milky Way,,,,,,,,,,,
Kepler-1269,1,1,81.262,Helix Galaxy,,,,,,,,,,,
Kepler-127,1,3,89.524,Bode's Galaxy,,,,,,,,,,,
Kepler-1270,1,1,180.767,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1271,1,1,103.025,Barnard's Galaxy,,,,,,,,,,,
Kepler-1272,1,1,68.659,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1273,1,1,219.389,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-1274,1,1,237.644,Backward Galaxy,,,,,,,,,,,
Kepler-1275,1,1,290.678,Whale Galaxy,,,,,,,,,,,
Kepler-1276,1,1,156.764,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1277,1,1,279.972,Hidden Galaxy,,,,,,,,,,,
Kepler-1278,1,1,276.767,Andromeda Galaxy,,,,,,,,,,,
Kepler-1279,1,1,216.196,Large Magellanic Cloud,,,,,,,,,,,
Kepler-128,1,2,248.382,Condor Galaxy,,,,,,,,,,,
Kepler-1280,1,1,68.391,Milky Way,,,,,,,,,,,
Kepler-1281,1,1,239.336,Needle Galaxy,,,,,,,,,,,
Kepler-1282,1,1,200.987,Porphyrion,,,,,,,,,,,
Kepler-1283,1,1,93.753,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1284,1,1,120.237,Wolf-Lundmark-Melotte,,,,,,,,,,,
Kepler-1285,1,1,16.859,Antennae Galaxies,,,,,,,,,,,
Kepler-1286,1,1,164.245,Milky Way,,,,,,,,,,,
Kepler-1287,1,1,146.291,Cigar Galaxy,,,,,,,,,,,
Kepler-1288,1,1,21.342,Eye of Sauron,,,,,,,,,,,
Kepler-1289,1,1,94.069,Blinking Galaxy,,,,,,,,,,,
Kepler-129,1,3,200.556,Godzilla Galaxy,,,,,,,,,,,
Kepler-1290,1,1,46.316,Starfish Galaxy,,,,,,,,,,,
Kepler-1291,1,1,149.73,Triangulum Galaxy,,,,,,,,,,,
Kepler-1292,1,1,118.143,Godzilla Galaxy,,,,,,,,,,,
Kepler-1293,1,1,42.967,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1294,1,1,121.133,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-1295,1,1,243.148,Hidden Galaxy,,,,,,,,,,,
Kepler-1296,1,1,35.807,Mice Galaxies,,,,,,,,,,,
Kepler-1297,1,1,81.623,Small Magellanic Cloud,,,,,,,,,,,
Kepler-1298,1,1,28.556,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1299,1,1,32.132,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-130,2,3,56.999,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-1300,1,1,133.405,Alcyoneus,,,,,,,,,,,
Kepler-1301,1,1,67.691,Sombrero Galaxy,,,,,,,,,,,
Kepler-1302,1,1,200.463,Circinus Galaxy,,,,,,,,,,,
Kepler-1303,1,1,203.298,Cocoon Galaxy,,,,,,,,,,,
Kepler-1304,1,1,77.845,Helix Galaxy,,,,,,,,,,,
Kepler-1305,1,1,203.475,Malin 1,,,,,,,,,,,
Kepler-1306,1,1,286.191,Andromeda Galaxy,,,,,,,,,,,
Kepler-1307,1,1,73.373,Fried Egg Galaxy,,,,,,,,,,,
Kepler-1308,1,1,11.344,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1309,1,1,41.071,Knife Edge Galaxy,,,,,,,,,,,
Kepler-131,1,2,80.889,Cigar Galaxy,,,,,,,,,,,
Kepler-1310,1,1,134.99,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-1311,1,3,138.167,Grasshopper,,,,,,,,,,,
Kepler-1312,1,2,142.551,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1313,1,1,271.975,Medusa Merger,,,,,,,,,,,
Kepler-1314,1,1,86.623,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-1315,1,2,220.864,Alcyoneus,,,,,,,,,,,
Kepler-1316,1,1,134.466,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1317,1,1,45.915,Hidden Galaxy,,,,,,,,,,,
Kepler-1318,1,1,181.351,Needle Galaxy,,,,,,,,,,,
Kepler-1319,2,1,287.282,Fried Egg Galaxy,,,,,,,,,,,
Kepler-132,2,4,36.395,Triangulum Galaxy,,,,,,,,,,,
Kepler-1320,1,1,0.949,Fireworks Galaxy,,,,,,,,,,,
Kepler-1321,1,3,103.142,Medusa Merger,,,,,,,,,,,
